Name,Value
IBM,215
SAP,190
HP,150
Teradata,122
EMC,105
Microsoft,75
MarkLogic,43
Oracle,41
Actian,17
10gen,15
ParAccel,11
DataStax,9
Basho,9
Couchbase,8
Aerospike,7
LucidWorks,6
Kognitio,6
Neo Technologies,5
RainStor,5
Calpont,4
Other,175
,3
,3
,3
,3
,2
,2
,2
,2
,1
,1
,1
,1
,1
,1
,1
,1
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.3
,0.3
,0.3
,0.3
,0.3
,0.3
,0.2
,0.2
,0.2
,0.2
,0.2
,0.2
,0.2
,0.2
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.08
,0.08
,0.08
,0.05
